[02-Aug-2015 02:46:24 UTC] PHP Fatal error:  Class 'App\Http\Controllers\View' not found in /home/ubuntu/workspace/simple-notes/app/Http/Controllers/SessionController.php on line 29
[02-Aug-2015 02:46:24 UTC] PHP Stack trace:
[02-Aug-2015 02:46:24 UTC] PHP   1. {main}() /home/ubuntu/workspace/simple-notes/public/index.php:0
[02-Aug-2015 02:46:24 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/simple-notes/public/index.php:54
[02-Aug-2015 02:46:24 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/simple-notes/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:88
[02-Aug-2015 02:46:24 UTC] PHP   4. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/simple-notes/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:123
[02-Aug-2015 02:46:24 UTC] PHP   5. call_user_func:{/home/ubuntu/workspace/simple-notes/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/simple-notes/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[02-Aug-2015 02:46:24 UTC] PHP   6. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/simple-notes/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[02-Aug-2015 02:46:24 UTC] PHP   7. call_user_func_array:{/home/ubuntu/workspace/simple-notes/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/simple-notes/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[02-Aug-2015 02:46:24 UTC] PHP   8. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/simple-notes/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[02-Aug-2015 02:46:24 UTC] PHP   9. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/simple-notes/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:42
[02-Aug-2015 02:46:24 UTC] PHP  10. call_user_func_array:{/home/ubuntu/workspace/simple-notes/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/simple-notes/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[02-Aug-2015 02:46:24 UTC] PHP  11. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/simple-notes/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[02-Aug-2015 02:46:24 UTC] PHP  12. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/simple-notes/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
